Move Name,Video Link,Cues/Notes (Needs to be finished),,
Glider Mountain Climbers,https://youtu.be/imskHrLO1fs?si=FTcHP6MHcNaQsT1C,,,
Glider Trucks,https://youtu.be/4EkoTp1Ji4w?si=RTbiq2yDspDGwBQ6,,,
Glider Pike,https://youtu.be/EuKtcQaddJ4?si=epcz4Zp91Xj_Hx_b,,,
Glider Lateral Lunge,https://youtu.be/3L3YHmCLW70?si=UJq47nnn9j4a76p0,,,
Glider Tuck/Split,https://youtu.be/_cxBBycC0HM?si=vGJ50tApCMbmlgr2,,,
Glider Pike/Split,https://youtu.be/4KBvghHJr6k?si=Yr5o2Iqh3G5MrmCh,,,
Oblique Tuck/Raise,https://youtu.be/Mz6vSeyHbBU?si=cLjHA9YWl_0jsimf,,,
Low Plank,https://youtu.be/G-MEcRkgt2w?si=HiaggoAnd37xCRwM,"Use forearms to support upper body, get feet in wide stance. Come up on toes, squeeze butt and core. 30-60s ",,
Russian Twists lvl 1-3,https://youtu.be/fRgh7c5bQ3o?si=VInTy6GpUdXChc5k,Keep core tight and maximize rotation in torso. Maintain forward head position. 30-60s,,
Low Back Metronome lvl 1,https://youtu.be/KlyruyZ4ihM?si=WmVkAWCpH2-63hvO,"Keep feet planted and bend knees, rotate side to side while keeping shoulder blades on the floor. 12-16 reps alternating.",,
Low Back Metronome lvl 2,https://youtu.be/7wkLa3YkkLM?si=HspBMs2nNxkMOluS,Lift feet off floor and bend knees to 90 degrees. Control lowering phase using core. 12-16 reps alternating.,,
Low Back Metronome lvl 3,https://youtu.be/KWpbNZ5Bg5U?si=B6v36UBCRaIAkjCh,Straighten the legs completely and move them slowly in a large arc side to side. 12-16 reps alternating.,,
Turkish Get Up,https://youtu.be/UrquY6_qwXQ?si=uPelTofq0FcXPB2t,,,
Inch Worm,https://youtu.be/7hx3K2rXMyc?si=sXKnZJbWeCD2Xhly,,,
Angels and Devils,https://youtu.be/FVw8EG-GlR4?si=rjD2JO7hgoQFo7lF,"Lie face down with arms in a ""Y"" position. Lift arms and chest off floor and move arms in a circular motion towards hips. 6-12 reps.",,
Air Squat,https://youtu.be/fZQ_8j8or7s?si=YJrc8rUhdxGyOJre,,,
Jump Squat,https://youtu.be/Us2t0yVIJyA?si=us_4juL-i7gpvtZz,,,
Plyo Lunge,https://youtu.be/VlasZyWqkwE?si=ehmgOvwM7T8jNILf,,,
Lateral Bounds,https://youtu.be/HGjdJFsSZnQ?si=6BVcRuchnoFSK_Pq,,,
Angled Bound,https://youtu.be/GtPaCvU6SrQ?si=1cXzIoFZXNEnQEHp,,,
Single Leg Speed Drop,https://youtu.be/83FnkDQwGbA?si=rrMrVO4yBSB6PrZa,,,
SL Speed Drop / Lat Push,https://youtu.be/VrKTROzwvbs?si=qm_CUx_y-wDs3hyF,,,
Power Skips,https://youtu.be/wSBDAbuot-4?si=RnQ5l6FOWBp89T3L,,,
Low Back Pain Amelioration Sequence ,https://youtu.be/YzRsFacAPL8?si=-ps9acdEz3r89yyG,,,
Deficit Straight Leg Calf Raises ,https://youtu.be/m-3NyFo46iw?si=fBIZGorDFDSW2YFb,,,
Bosu Bent Knee Calf Raises ,https://youtu.be/iJF_A2fReMw?si=eSvn_fOdk8n27R20,,,
Deficit Bent Leg Calf Raises ,https://youtu.be/KXi091s-aKU?si=TNaodRTLVYDODtnp,,,
Skin The Cat Lvl 1 Half Cat ,https://youtu.be/WL-Vff75b3w?si=H0d-tuDHg5AFNhth,,,
Skin The Cat Lvl 2 Pencil Hold ,https://youtu.be/RvILzy0WvlA?si=ej_iXO0S_BWVEJ5a,,,
Skin The Cat Lvl 3 Half German Hang ,https://youtu.be/D-dliVJYrOg?si=l95c83A6iDenLorg,,,
Hand Extensor Raise ,https://youtu.be/6ON5eXdNzfE?si=eQ_QLGylzFvO0FKz,,,
Hand Palm Raise ,https://youtu.be/W8mybByQK6Y?si=YgsL0-VvX9HOE68Q,,,
Calf Squats ,https://youtu.be/f5cFZjkmWDI?si=yHbrQU-AziVURaJt,,,
Sidewinder Latter Drill ,https://youtu.be/II92Kb-TVwY?si=u6jNuF_9yb1HIA7E,,,
Back Step Ickey Latter Drill ,https://youtu.be/914hx2tDjog?si=z9D5BbyW2_tzzSL1,,,
4 Cone Rapid Decelerations,https://youtu.be/PrWh7gSPB_k?si=kqM4UHPFN6cnPALG,,,
"Cone Sprint, Shuffle Drill",https://youtu.be/AB5KP4HJ-Os?si=PLTj7urMjZBcZ6o_,,,
Trail Whip Latter Drill,https://youtu.be/kccekfUXVag?si=u_NrHFKLjurUaWOv,,,
In And Out Shuffle Ladder Drill,https://youtu.be/jHAbwMLn9rw?si=pYV3Y-Hj-TiYmmls,,,
Quick Feet and Turn Cone Drill ,https://youtu.be/U2k45TTUUr4?si=I4xp2BC1C7hcAEZ1,,,
Sprint Technique Cone Drill,https://youtu.be/E9-DhDgvydE?si=rXj5EzqeLRWYbBUs,,,
Ickey Shuffle Ladder Drill,https://youtu.be/9Jlm0_qgDKE?si=9-pAehsjBsjdAk7t,,,
Cross Country Shuffle Ladder Drill,https://youtu.be/wCRAiOujBNg?si=ZzRJ4CoViPBHA_Ch,,,
Daily Foot Rehab Sequence ,https://youtu.be/fBJ3dC5gtR8?si=C3fklg2tL3EyghQu,,,
Pelvic Tilt ,https://youtu.be/0vyTr_nKQVs?si=odRlJEZTzEC78Vtr,"Laying down, face up have arms out for support. With legs bent, exhale and pull hips into the ribcage. 10-20 reps ",,
